description,price,price_num,year,year_num,kilometers,kilometers_num,location,link
Audi Q5 2.0 Tfsi 211cv Stronic Quattro,US$20.800,20800,2012,2012,144.500 Km,144500,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2089465076-audi-q5-20-tfsi-211cv-stronic-quattro-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 3.0 Tfsi Tiptronic Quattro 272cv,US$30.000,30000,2017,2017,130.000 Km,130000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1493576183-audi-q5-30-tfsi-tiptronic-quattro-272cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi Stronic 252cv,US$82.800,82800,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1491811781-audi-q5-20-tfsi-stronic-252cv-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi Tiptronic Quattro 250cv,US$34.000,34000,2017,2017,155.000 Km,155000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2048163476-audi-q5-20-tfsi-tiptronic-quattro-250cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 45 Tfsi Advanced 252cv,US$86.000,86000,2025,2025,1.000 Km,1000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2097260188-audi-q5-20-45tfsi-advanced-245cv-quattro-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi Tiptronic Quattro 250cv,US$52.500.000,52500000,2017,2017,97.015 Km,97015,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1483613933-audi-q5-20-tfsi-tiptronic-quattro-250cv-bmw-x3-_JM?highlight=true&headerTopBrand=true#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi Stronic 252cv,US$77.800,77800,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1988849934-audi-q5-20-tfsi-stronic-252cv-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 45 Tfsi Sport 252cv,US$86.900,86900,2024,2024,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1463621809-audi-q5-45-tfsi-sportback-advanced-quattro-0km-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 45 Tfsi Sport 252cv,US$86.900,86900,2024,2024,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1459146775-audi-q5-45-tfsi-sportback-advanced-quattro-0km-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 45 Tfsi Sport 252cv,US$82.800,82800,2024,2024,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1927355234-audi-q5-45-tfsi-advanced-quattro-0km-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi 252cv,US$32.900,32900,2017,2017,155.000 Km,155000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2092719356-audi-q5-2017-20-tfsi-stronic-quattro-252-cv-smart-garage-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 45 Tfsi Advanced Stronic Quattro,US$78.000,78000,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2082519450-audi-q5-45-tfsi-advanced-stronic-quattro-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 45 Tfsi Advanced Stronic Quattro,US$78.000,78000,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2082843402-audi-q5-45-tfsi-advanced-stronic-quattro-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 45 Tfsi Advanced Stronic Quattro,US$78.000,78000,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1497386593-audi-q5-45-tfsi-advanced-stronic-quattro-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 45 Tfsi Advanced Stronic Quattro,US$78.000,78000,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1497260611-audi-q5-45-tfsi-advanced-stronic-quattro-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 45 Tfsi Advanced Stronic Quattro,US$78.000,78000,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2080228424-audi-q5-45-tfsi-advanced-stronic-quattro-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi Quattro,US$32.000,32000,2016,2016,98.500 Km,98500,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2076077014-audi-q5-20-tfsi-225cv-quattro-2016-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi Stronic Quattro Security 252cv,US$82.800,82800,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1470926945-audi-q5-20-tfsi-stronic-quattro-252cv-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi Stronic 252cv,US$82.800,82800,2024,2024,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1459261117-audi-q5-45-tfsi-advanced-s-tronic-quattro-0km-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi Tiptronic Quattro 250cv,US$45.900,45900,2018,2018,90.000 Km,90000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1502431215-audi-q5-20-tfsi-tiptronic-quattro-250cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi Quattro,US$29.000,29000,2014,2014,120.000 Km,120000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2021996204-audi-q5-20-tfsi-quattro-2014-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi 225cv Tiptronic Quattro,US$23.500,23500,2013,2013,97.000 Km,97000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2091707946-audi-q5-20-tfsi-225cv-tiptronic-quattro-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 45 Tfsi Sport 252cv,US$82.800,82800,2024,2024,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1909503640-audi-q5-45-tfsi-advanced-0km-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi S Tronic Quattro 252 Cv,US$35.900,35900,2018,2018,151.000 Km,151000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2076738400-audi-q5-20-t-quattro252cv-stronic-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 3.0 I 240cv Stronic Quattro,US$20.500,20500,2011,2011,226.000 Km,226000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1501202781-audi-q5-30-tdi-v6-diesel-traccion-integral-quattro-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 45 Tfsi Advanced 252cv,US$77.800,77800,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2036853360-audi-q5-20-45-tfsi-advanced-252cv-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi 225cv Tiptronic Quattro,US$27.000.000,27000000,2014,2014,185.000 Km,185000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1491866181-audi-q5-20-tfsi-225cv-tiptronic-quattro-_JM?highlight=true&headerTopBrand=true#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 3.0 Tfsi Tiptronic Quattro 272cv,US$49.000.000,49000000,2019,2019,125.823 Km,125823,Quilmes - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2080072064-audi-q5-30-tfsi-tiptronic-quattro-272cv-2019-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 45 Tfsi Advanced 252cv,US$86.000,86000,2025,2025,1.000 Km,1000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1499855401-audi-q5-20-45-tfsi-advanced-252cv-2025-2024-0km-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 45 Tfsi Advance Stronic Quattro 245 Cv,US$78.800,78800,2025,2025,1.000 Km,1000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2010576844-audi-q5-45-tfsi-advance-stronic-quattro-mild-hibrid-245cv-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 45 Tfsi Stronic Advanced Quattro 245 Cv,US$84.500,84500,2025,2025,0 Km,0,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1997055732-audi-q5-45-tfis-stronic-advanced-quattro-245-cv-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 45 Tfsi Advanced 252cv,US$77.800,77800,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1501858087-audi-q5-20-45-tfsi-advanced-252cv-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 I 177cv Stronic Quattro,US$22.000,22000,2013,2013,104.000 Km,104000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2094311264-audi-q5-20-i-177cv-stronic-quattro-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 45 Tfsi Advanced 252cv,US$77.800,77800,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2024720834-audi-q5-20-45-tfsi-advanced-252cv-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi 225cv Quattro,US$29.000,29000,2016,2016,110.000 Km,110000,Quilmes - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-1476625677-audi-q5-20-tfsi-225cv-quattro-_JM?highlight=true&headerTopBrand=true#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 Audi Q5 Audi Q5 45 Advanced Tfsi Stronic Quattro (mild Hybrid) 245 Cv,US$86.000,86000,2025,2025,0 Km,0,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1471845495-audi-q5-45-advanced-tfsi-stronic-quattro-mild-hybrid-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi Stronic 252cv,US$77.800,77800,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1989073494-audi-q5-20-tfsi-stronic-252cv-0km-2025-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi 211cv Quattro,US$21.000,21000,2012,2012,166.000 Km,166000,General Deheza - Córdoba,https://auto.mercadolibre.com.ar/MLA-2089325826-audi-q5-20-tfsi-211cv-quattro-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi Stronic 252cv,US$77.800,77800,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2014044548-audi-q5-20-tfsi-stronic-252cv-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 Audi Q5 45 Tfsi Stronic Quattro 245 Cv,US$84.500,84500,2025,2025,0 Km,0,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1996979484-audi-q5-45-tfsi-stronic-quattro-245-cv-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 3.0 Tfsi 272cv Tiptronic Quattro,US$27.900,27900,2016,2016,147.500 Km,147500,Lomas De Zamora - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-1496862977-audi-q5-30-tfsi-272cv-tiptronic-quattro-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi 225cv Quattro,US$22.500,22500,2013,2013,93.000 Km,93000,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1501568561-audi-q5-20-tfsi-225cv-quattro-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=42&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi Tiptronic Quattro 250cv,US$32.500,32500,2017,2017,165.000 Km,165000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2091986402-audi-q5-20-tfsi-tiptronic-quattro-250cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 I 177cv Stronic Quattro,US$23.000,23000,2013,2013,201.000 Km,201000,Lanús - Bs.As. G.B.A. Sur,https://auto.mercadolibre.com.ar/MLA-2091224974-audi-q5-20-i-177cv-stronic-quattro-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=44&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi 225cv Tiptronic Quattro,US$20.200,20200,2013,2013,156.000 Km,156000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1495693791-audi-q5-2013-20-tfsi-225cv-tiptronic-quattro-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=45&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 I 170cv Stronic Quattro,US$22.500,22500,2012,2012,138.000 Km,138000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2095001984-audi-q5-20-i-170cv-stronic-quattro-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=46&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 Tfsi Stronic Quattro Security 252cv,US$39.000,39000,2018,2018,84.000 Km,84000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2080930978-audi-q5-20-tfsi-stronic-quattro-security-252cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 I 177cv Stronic Quattro,US$20.500,20500,2013,2013,220.000 Km,220000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1498676387-audi-q5-20-tdi-quattro-stronic-control-adaptativo-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=48&search_layout=grid&type=item&tracking_id=5d1f08ea-a71b-4539-99dc-e8e4ee18ecc6
Audi Q5 2.0 45 Tfsi Offroad 252cv,US$66.000,66000,2021,2021,29.000 Km,29000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2093614236-audi-q5-20-45-tfsi-offroad-252cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 Tfsi 225cv Quattro,US$25.990.000,25990000,2013,2013,189.000 Km,189000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2098408026-audi-q5-20-tfsi-225cv-quattro-2013-189000-km-excelente-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 45 Tfsi Offroad 252cv,US$50.000,50000,2020,2020,77.000 Km,77000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2082882778-audi-q5-20-45-tfsi-offroad-252cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 45 Tfsi Advanced 252cv,US$87.500,87500,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2043663886-audi-q5-20-45-tfsi-advanced-252cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 Tfsi 225cv Quattro,US$22.500,22500,2014,2014,142.000 Km,142000,Morón - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-1500975369-audi-q5-20-tfsi-225cv-quattro-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 Tfsi 211cv Stronic Quattro,US$27.000,27000,2013,2013,6.000 Km,6000,General San Martín - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2099260978-audi-q5-20-tfsi-211cv-stronic-quattro-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 Q5 Pi 45 Tfsi Advanced Quattro,US$84.900,84900,2025,2025,0 Km,0,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2091935220-audi-q5-pi-45-tfsi-advanced-quattro-2025-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 Tfsi Tiptronic Quattro 225cv,US$33.000,33000,2016,2016,105.000 Km,105000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1483780487-blindado-rb3-audi-q5-20-quattro-tomas-bord-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 Tfsi 211cv Stronic Quattro,US$19.800,19800,2010,2010,148.000 Km,148000,General San Martín - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2092679870-audi-q5-20-tfsi-211cv-stronic-quattro-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 Tfsi Tiptronic Quattro 225cv,US$37.000,37000,2018,2018,83.000 Km,83000,Escalante - Chubut,https://auto.mercadolibre.com.ar/MLA-1479614399-audi-q5-20-tfsi-tiptronic-quattro-225cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
Audi Q5 2.0 Tfsi 211cv Stronic Quattro,US$19.000,19000,2011,2011,195.000 Km,195000,Escobar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2080418386-audi-q5-20-tfsi-211cv-stronic-quattro-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=5fb75a59-06f6-4963-81d8-f9ee220b9af7
