description,price,price_num,year,year_num,kilometers,kilometers_num,location,link,search_term,variación
Bmw X3 2.0 Xdrive 30i Xline,US$55.499,55499,2019,2019,83.000 Km,83000,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1499885531-bmw-x3-20-xdrive-30i-xline-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=1&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↓
Bmw X3 2.0 Xdrive 30i Executive,US$65.000,65000,2020,2020,85.000 Km,85000,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1501334443-bmw-x3-20-xdrive-30i-executive-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=2&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↑
Bmw X3 2.0 Xdrive 30i Xline,US$89.900,89900,2024,2024,1.000 Km,1000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1490784849-bmw-x3-20-xdrive-30i-xline-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=3&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↑
Bmw X3 2.0 Xdrive 30e Xline,US$89.900,89900,2023,2023,16.000 Km,16000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1502626869-bmw-x3-20-xdrive-30e-xline-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=4&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↓
Bmw X3 2.0 Xdrive 30e Xline,US$89.900,89900,2023,2023,22.000 Km,22000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2097263720-bmw-x3-20-xdrive-30e-xline-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=5&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↓
Bmw X3 Xdrive30e Lci Xdrive30e Lci,US$129.900,129900,2023,2023,0 Km,0,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2032803174-bmw-x3-xdrive30e-lci-2023-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=6&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,=
Bmw X3 2.0 Xdrive 30i Xline,US$55.000,55000,2020,2020,92.000 Km,92000,Escobar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2095785982-bmw-x3-drive-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=7&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↓
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$23.000,23000,2013,2013,183.000 Km,183000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2100462254-bmw-x3-30-x3-xdrive-35i-executive-306cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↓
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$34.999,34999,2015,2015,87.500 Km,87500,Pilar - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1499416383-bmw-x3-30-x3-xdrive-35i-executive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=9&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↑
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$35.000,35000,2013,2013,166.000 Km,166000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2078053812-bmw-x3-30-x3-xdrive-35i-executive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=10&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↑
Bmw X3 2.0 Xdrive 30i Xline,US$47.900,47900,2019,2019,75.000 Km,75000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2094993174-bmw-x3-20-xdrive-30i-xline-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=11&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↓
Bmw X3 2.0 Xdrive 30e Xline,US$125.000,125000,2023,2023,4.000 Km,4000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1500381923-bmw-x3-2024-xdrive-30e-mejor-que-nuevo-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=12&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,=
Bmw X3 30i Xdrive,US$47.900,47900,2019,2019,62.500 Km,62500,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2089866686-bmw-x3-30i-xdrive-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,=
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$30.000,30000,2013,2013,190.000 Km,190000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1498450393-bmw-x3-30-x3-xdrive-35i-executive-306cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=14&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↑
Bmw X3 3.0 X3 Xdrive 35i M Package 306cv,US$93.000,93000,2018,2018,85.000 Km,85000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2076156224-bmw-x3-m40i-xdrive-360cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=15&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↑
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$30.000,30000,2014,2014,97.500 Km,97500,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1497027671-bmw-x3-30-x3-xdrive-35i-executive-306cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↑
Bmw X3 3.0 X3 Xdrive 35i M Package 306cv,US$50.900,50900,2017,2017,36.000 Km,36000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2089325526-bmw-x3-30-x3-xdrive-35i-m-package-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=17&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↓
Bmw X3 2.0 Xdrive 30i Xline,US$69.500,69500,2020,2020,47.500 Km,47500,Rosario - Santa Fe,https://auto.mercadolibre.com.ar/MLA-2079854278-bmw-x3-20-xdrive-30i-xline-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=18&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↓
Bmw X3 2.0 Xdrive 30i Xline,US$80.000,80000,2023,2023,16.000 Km,16000,Tigre - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1503156389-bmw-x3-20-xdrive-30i-xline-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=19&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,=
Bmw X3 M50,US$137.900,137900,2025,2025,0 Km,0,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2063932120-bmw-x3-m50-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,=
Bmw X3 M,US$139.000,139000,2021,2021,31.000 Km,31000,Funes - Santa Fe,https://auto.mercadolibre.com.ar/MLA-1500541439-bmw-x3m-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,=
Bmw X3 2.0 Xdrive 30i Xline,US$85.000,85000,2022,2022,34.000 Km,34000,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-1502407549-bmw-x3-20-xdrive-30i-xline-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=22&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↑
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$25.000,25000,2013,2013,292.000 Km,292000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2085491660-bmw-x3-30-x3-xdrive-35i-executive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,=
Bmw X3 3.0 Xdrive Advantage L,US$70.000,70000,2021,2021,32.000 Km,32000,Córdoba - Córdoba,https://auto.mercadolibre.com.ar/MLA-2081784004-vendo-bmw-x3-xdrive-advantage-2021-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,=
Bmw X3 M40i,US$110.000,110000,2020,2020,31.000 Km,31000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1502756299-bmw-x3-30-m40i-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,=
Bmw X3 Xdrive 20 I,US$91.900,91900,2025,2025,0 Km,0,Vicente López - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2063533744-bmw-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=26&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,=
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$37.900.000,37900000,2013,2013,140.000 Km,140000,Villa Carlos Paz - Córdoba,https://auto.mercadolibre.com.ar/MLA-1483839447-bmw-x3-30-x3-xdrive-35i-executive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=27&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↑
Bmw X3 3.0 X3 Xdrive 35i M Package 306cv,US$56.000,56000,2018,2018,47.350 Km,47350,Castelar - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-2086575332-bmw-x3-30-x3-xdrive-35i-m-package-306cv-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↑
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$28.000,28000,2013,2013,200.000 Km,200000,Godoy Cruz - Mendoza,https://auto.mercadolibre.com.ar/MLA-2094730260-bmw-x3-executive-35-i-xdrive-2013-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=29&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↑
Bmw X3 2.0 Xdrive 30i Executive,US$52.900,52900,2021,2021,87.500 Km,87500,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2056938982-bmw-x3-20-xdrive-30i-executive-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↓
Bmw X3 30i Xdrive At,US$69.900,69900,2018,2018,53.000 Km,53000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1497543585-bmw-x3-30i-xdrive-at-2018-blindaje-rb3-autopremium-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,=
Bmw X3 2.0 Xdrive 30i Xline,US$58.900,58900,2019,2019,57.000 Km,57000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-2080019250-bmw-x3-20-xdrive-30i-xline-_JM?highlight=false&headerTopBrand=true#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↓
Bmw X3 3.0 Xdrive M50 M Performance 398cv,US$148.000,148000,2025,2025,1.000 Km,1000,Rosario - Santa Fe,https://auto.mercadolibre.com.ar/MLA-1502905087-bmw-x3-30-xdrive-m50-m-performance-398cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↑
Bmw X3 2.0 Xdrive 30i Xline,US$95.900,95900,2024,2024,1.000 Km,1000,Capital Federal - Capital Federal,https://auto.mercadolibre.com.ar/MLA-1501666667-bmw-x3-20-xdrive-30i-xline-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=34&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↑
Bmw X3 2.0 Xdrive 28i Xline 245cv,US$33.000,33000,2017,2017,106.000 Km,106000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-2058893094-bmw-x3-20-xdrive-28i-xline-245cv-_JM?highlight=true&headerTopBrand=false#polycard_client=search-nordic&position=35&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,=
Bmw X3 2.0 Xdrive 30i 245cv,US$68.000,68000,2019,2019,74.000 Km,74000,Moreno - Bs.As. G.B.A. Oeste,https://auto.mercadolibre.com.ar/MLA-1503026531-bmw-x3-20-xdrive-30i-245cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=36&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,=
Bmw X3 3.0 X3 Xdrive 35i Executive 306cv,US$22.900,22900,2013,2013,187.000 Km,187000,San Isidro - Bs.As. G.B.A. Norte,https://auto.mercadolibre.com.ar/MLA-1495697535-bmw-x3-30-x3-xdrive-35i-executive-306cv-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,↓
Bmw X3 Xdrive 30e,US$99.900,99900,2024,2024,0 Km,0,Godoy Cruz - Mendoza,https://auto.mercadolibre.com.ar/MLA-1471502057-bmw-x3-xdrive-30e-genco-bmw-_JM?highlight=false&headerTopBrand=false#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=134a0bab-e099-40c3-929f-e49e5bcd97de,bmw x3 3.0,=
